wtf? newest:  220202336, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  86, out: 8, eta: 1.973000,  updateval: 0.347361 
wtf? newest:  8, out: 220216800, eta: -0.027000,  updateval: 1.485308 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.966687 
wtf? newest:  220339752, out: 2, eta: 1.000000,  updateval: 0.966687 
wtf? newest:  219611688, out: 2, eta: 1.000000,  updateval: 0.966687 
wtf? newest:  104, out: 8, eta: 1.910000,  updateval: 0.090996 
wtf? newest:  8, out: 220382688, eta: -0.090000,  updateval: 1.364299 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  89, out: 8, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220201520, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220248624, out: 3, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220377648, out: 3, eta: 1.973000,  updateval: 0.347361 
wtf? newest:  3, out: 220373472, eta: -0.027000,  updateval: 1.485308 
wtf? newest:  219575008, out: 2, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  219603680, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219611872, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219571680, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  113, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220440264, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  113, out: 12, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220201672, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220422856, out: 2, eta: 1.700000,  updateval: -0.490000 
wtf? newest:  2, out: 220419552, eta: -0.300000,  updateval: 1.043000 
wtf? newest:  220212576, out: 3, eta: 1.991900,  updateval: 0.427050 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  219612512, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220228960, out: 1, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  87, out: 8, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  3, out: 220207584, eta: -0.008100,  updateval: 1.522445 
wtf? newest:  219981368, out: 3, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220026424, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  2, out: 220023264, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  104, out: 8, eta: 1.991900,  updateval: 0.427050 
wtf? newest:  220339760, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  8, out: 220235232, eta: -0.008100,  updateval: 1.522445 
wtf? newest:  220377640, out: 3, eta: 1.990006,  updateval: 0.418391 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220248616, out: 3, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220412456, out: 1, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  3, out: 220373472, eta: -0.009994,  updateval: 1.518522 
wtf? newest:  17, out: 226406656, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219583200, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219593440, out: 2, eta: 1.700000,  updateval: -0.490000 
wtf? newest:  2, out: 219590112, eta: -0.300000,  updateval: 1.043000 
wtf? newest:  219483176, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219501608, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219538472, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219534816, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  109, out: 12, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  109, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  109, out: 8, eta: 1.910000,  updateval: 0.147000 
wtf? newest:  8, out: 220456416, eta: -0.090000,  updateval: 1.381100 
wtf? newest:  219474200, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  7, out: 8, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219529496, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219525600, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220183904, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  220202336, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  86, out: 8, eta: 1.991900,  updateval: 0.426692 
wtf? newest:  8, out: 220216800, eta: -0.008100,  updateval: 1.522338 
wtf? newest:  220016184, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220034616, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220043832, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  1, out: 220041696, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  89, out: 8, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  220201520, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  220248624, out: 3, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  220377648, out: 3, eta: 1.991900,  updateval: 0.426692 
wtf? newest:  3, out: 220373472, eta: -0.008100,  updateval: 1.522338 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.990006 
wtf? newest:  220339752, out: 2, eta: 1.000000,  updateval: 0.990006 
wtf? newest:  219611688, out: 2, eta: 1.000000,  updateval: 0.990006 
wtf? newest:  104, out: 8, eta: 1.973000,  updateval: 0.346290 
wtf? newest:  8, out: 220382688, eta: -0.027000,  updateval: 1.484987 
wtf? newest:  219575008, out: 2, eta: 1.910000,  updateval: 0.147000 
wtf? newest:  219603680, out: 3, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219611872, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  2, out: 219571680, eta: -0.090000,  updateval: 1.381100 
wtf? newest:  219529256, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  13, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219556904, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219553248, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  113, out: 8, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220440264, out: 1, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  113, out: 12, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220201672, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220422856, out: 2, eta: 1.910000,  updateval: 0.102900 
wtf? newest:  2, out: 220419552, eta: -0.090000,  updateval: 1.367870 
wtf? newest:  219695192, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219703384, out: 1, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  1, out: 219700704, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219483416, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219501848, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219538712, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219534816, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  220063072, out: 1, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220016992, out: 1, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  1, out: 220014048, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220212576, out: 3, eta: 1.997570,  updateval: 0.451063 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  219612512, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  220228960, out: 1, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  87, out: 8, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  3, out: 220207584, eta: -0.002430,  updateval: 1.533618 
wtf? newest:  220026424, out: 2, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  220016184, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 220023264, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  219833664, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219870528, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219866592, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219593408, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219611840, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219620032, out: 1, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  20, out: 8, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  8, out: 220318176, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  220377640, out: 3, eta: 1.997002,  updateval: 0.448561 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220248616, out: 3, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220412456, out: 1, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  3, out: 220373472, eta: -0.002998,  updateval: 1.532470 
wtf? newest:  104, out: 8, eta: 1.997570,  updateval: 0.451063 
wtf? newest:  220339760, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  8, out: 220235232, eta: -0.002430,  updateval: 1.533618 
wtf? newest:  17, out: 226406656, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  219583200, out: 1, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  219593440, out: 2, eta: 1.910000,  updateval: 0.102900 
wtf? newest:  2, out: 219590112, eta: -0.090000,  updateval: 1.367870 
wtf? newest:  219538472, out: 2, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  219583528, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  15, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  15, out: 73, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220192808, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220212264, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  15, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219534816, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  109, out: 12, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  109, out: 8, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  109, out: 8, eta: 1.973000,  updateval: 0.351330 
wtf? newest:  8, out: 220456416, eta: -0.027000,  updateval: 1.486499 
wtf? newest:  219631704, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219712600, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  1, out: 219709920, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  219529496, out: 2, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  13, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219557144, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219525600, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  220000608, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220027232, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220044640, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  65, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220063072, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220072288, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  1, out: 220069344, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  220183904, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  220202336, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  86, out: 8, eta: 1.997570,  updateval: 0.451031 
wtf? newest:  8, out: 220216800, eta: -0.002430,  updateval: 1.533608 
wtf? newest:  220016184, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220034616, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220043832, out: 1, eta: 1.700000,  updateval: -0.490000 
wtf? newest:  1, out: 220041696, eta: -0.300000,  updateval: 1.043000 
wtf? newest:  219730608, out: 1, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  1, out: 219728352, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219860288, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  49, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219888960, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219885024, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  98, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220304064, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219603648, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220329664, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220339904, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 220336608, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  219538560, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219534816, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  89, out: 8, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  220201520, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  220248624, out: 3, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  220377648, out: 3, eta: 1.997570,  updateval: 0.451031 
wtf? newest:  3, out: 220373472, eta: -0.002430,  updateval: 1.533608 
